core,layer,layercode,x,y
menounos_cheak2,7,menounos_cheak2/7,3.76,8.824
menounos_cheak2,7,menounos_cheak2/7,4.2816,9.0196
menounos_cheak2,7,menounos_cheak2/7,4.5207,9.1717
menounos_cheak2,8,menounos_cheak2/8,1.1954,9.8455
menounos_cheak2,8,menounos_cheak2/8,1.5431,9.5847
menounos_cheak2,8,menounos_cheak2/8,2.0213,9.2804
menounos_cheak2,8,menounos_cheak2/8,2.5211,9.1717
menounos_cheak2,8,menounos_cheak2/8,3.1297,9.1717
menounos_cheak2,8,menounos_cheak2/8,3.7165,9.2804
menounos_cheak2,8,menounos_cheak2/8,4.086,9.4543
menounos_cheak2,8,menounos_cheak2/8,4.3903,9.7368
menounos_cheak2,8,menounos_cheak2/8,4.5207,9.8672
